date_key,full_date,day,month,year
20131231,2013-12-31,31,12,2013
20140101,2014-01-01,1,1,2014
20140131,2014-01-31,31,1,2014
20140201,2014-02-01,1,2,2014
20140228,2014-02-28,28,2,2014
20140301,2014-03-01,1,3,2014
20140331,2014-03-31,31,3,2014
20140430,2014-04-30,30,4,2014
20140531,2014-05-31,31,5,2014
20140630,2014-06-30,30,6,2014
20140731,2014-07-31,31,7,2014
20140831,2014-08-31,31,8,2014
20140930,2014-09-30,30,9,2014
20141031,2014-10-31,31,10,2014
20141130,2014-11-30,30,11,2014
20141231,2014-12-31,31,12,2014
20150131,2015-01-31,31,1,2015
20150228,2015-02-28,28,2,2015
20150331,2015-03-31,31,3,2015
20150430,2015-04-30,30,4,2015
20150531,2015-05-31,31,5,2015
20150630,2015-06-30,30,6,2015
20150731,2015-07-31,31,7,2015
20150831,2015-08-31,31,8,2015
20150930,2015-09-30,30,9,2015
20151031,2015-10-31,31,10,2015
20151130,2015-11-30,30,11,2015
20151231,2015-12-31,31,12,2015
20160131,2016-01-31,31,1,2016
20160229,2016-02-29,29,2,2016
20160331,2016-03-31,31,3,2016
20160430,2016-04-30,30,4,2016
20160531,2016-05-31,31,5,2016
20160630,2016-06-30,30,6,2016
20160731,2016-07-31,31,7,2016
20160831,2016-08-31,31,8,2016
20160930,2016-09-30,30,9,2016
20161031,2016-10-31,31,10,2016
20161130,2016-11-30,30,11,2016
