player_key,username,title,country_code,country_name,continent
1,beyazlavuk,,,,
2,promiscuo,,PE,Peru,South America
3,Zeffer,,BR,Brazil,South America
4,Itzre,,FR,France,Europe
5,atiliotbo,,UY,Uruguay,South America
6,AlgeriaCZL,,,,
7,ElmemeJr,,,,
8,toba_nomade,,AR,Argentina,South America
9,Rubajan,,KR,South Korea,Asia
10,askatthedust,,,,
11,xadresov,,PT,Portugal,Europe
12,Naitero,,,,
13,PL,,,,
14,azimlisoytari,,,,
15,excel,,,,
16,WallaceV,,,,
17,bulletmark,,AU,Australia,Oceania
18,Dumoumou,,CA,Canada,North America
19,dbalka,,RU,Russia,Europe
20,armandodo,,,,
21,papagallo,,,,
22,purkey,,,,
23,galita,,AR,Argentina,South America
24,kartago,,CL,Chile,South America
25,bambam777,,UA,Ukraine,Europe
26,uriel8,,,,
27,Mephostophilis,,US,United States,North America
28,Lenur,,,,
29,firespoon,,,,
30,branislav43,,,,
31,ChessTitan,,,,
32,gencha,,,,
33,psuter,,CH,Switzerland,Europe
34,Elfen,,FR,France,Europe
35,denko,,,,
36,jaquejoe,,AR,Argentina,South America
37,NUNKI,,,,
38,DOLQIKHVASUA,,,,
39,MrDeanKaning-,,,,
40,amayem,,TN,Tunisia,Africa
41,veridik,,FR,France,Europe
42,sicoob,,BR,Brazil,South America
43,YouKnowMe,,,,
44,far89,,,,
45,sandoval,,CO,Colombia,South America
46,tose,,BA,Bosnia and Herzegovina,Europe
47,stricklw80,,,,
48,miroslavm970,,,,
49,haekal,,,,
50,Diktator,,,,
51,kolomoets,,UA,Ukraine,Europe
52,tiltCHIMP,,,,
53,I00-000I,,,,
54,rikpal,,MK,North Macedonia,Europe
55,ErrantAndroid,,,,
56,llm,,,,
57,dagger48,,,,
58,asunder,,GB,United Kingdom,Europe
59,potsy722,,,,
60,FACETIMECOMAU,,,,
61,m_albert137,,,,
62,emilianofar,,UY,Uruguay,South America
63,savinka59,,UA,Ukraine,Europe
64,ban-ban,,,,
65,andrestoro001,,CO,Colombia,South America
66,hassan7777,,,,
67,ReiCapenga,,,,
68,aminkarimi,,,,
69,tyvatyva01,,,,
70,SHUNDRIYR,,UA,Ukraine,Europe
71,leon79,,AR,Argentina,South America
72,alekc200155,,,,
73,Natali6969,,RU,Russia,Europe
74,peblanki,,,,
75,Bucanatol,,UA,Ukraine,Europe
76,Incinerator,,US,United States,North America
77,chatkf,,FR,France,Europe
78,kubrick,,,,
79,andreyrost,,,,
80,irina1999kursk,,RU,Russia,Europe
81,suryavan,,,,
82,aleksandr561a,,RU,Russia,Europe
83,beny1985,,IR,Iran,Asia
84,roleg,,,,
85,pachiviris,,,,
86,Ytayi,,,,
87,arash6613,,IR,Iran,Asia
88,marjan,,RS,Serbia,Europe
89,LuisRazo,,,,
90,jrjs,,,,
91,jorquerov,,CL,Chile,South America
92,yorauly,,AR,Argentina,South America
93,Les3B,,,,
94,MisterBiggStuff,,,,
95,jrui,,,,
96,Funk,,,,
97,draten,,,,
98,Aminenbl,,MA,Morocco,Africa
99,voljan19,,,,
100,chess888,,FR,France,Europe
101,whitebaron,,,,
102,metrolog,,,,
103,shash19,,,,
104,bluesteyn,,,,
105,newyear,,,,
106,georgek,,US,United States,North America
107,avash-2,,TT,Trinidad and Tobago,North America
108,vinhasale,,BR,Brazil,South America
109,dipo_a,,,,
110,hurvajsmanka,,CZ,Czech Republic,Europe
111,pepe19,,,,
112,ivillamil,,,,
113,Rititi,,,,
114,cutthecrete,,,,
