time_control_key,base_seconds,increment_sec,name
1,60,0,Bullet
2,900,30,Classical
3,120,0,Bullet
4,180,0,Blitz
5,300,2,Blitz
6,600,0,Rapid
7,180,1,Blitz
8,1800,8,Classical
9,1200,5,Rapid
10,300,5,Rapid
11,360,5,Rapid
12,300,8,Rapid
13,300,0,Blitz
14,900,15,Classical
15,180,5,Blitz
16,900,8,Rapid
17,360,0,Blitz
18,480,0,Rapid
19,600,10,Rapid
20,360,6,Rapid
21,600,15,Rapid
22,240,3,Blitz
23,120,2,Blitz
24,900,0,Rapid
25,180,30,Rapid
26,360,8,Rapid
27,120,8,Blitz
28,240,0,Blitz
29,180,2,Blitz
30,600,5,Rapid
31,360,1,Blitz
32,1020,0,Rapid
33,420,0,Blitz
34,600,8,Rapid
35,720,0,Rapid
36,420,6,Rapid
37,900,1,Rapid
38,360,2,Blitz
39,1800,0,Classical
40,300,1,Blitz
41,720,8,Rapid
42,1200,30,Classical
43,480,8,Rapid
44,660,0,Rapid
45,60,2,Bullet
46,120,1,Bullet
47,300,3,Blitz
48,300,4,Blitz
49,420,9,Rapid
50,1200,0,Rapid
51,1200,6,Rapid
52,420,5,Rapid
53,540,0,Rapid
54,0,0,Correspondence
55,720,14,Rapid
56,1800,120,Classical
57,600,1,Rapid
58,300,15,Rapid
59,1200,20,Classical
60,60,1,Bullet
61,180,8,Rapid
62,480,9,Rapid
63,420,11,Rapid
64,60,3,Blitz
65,240,2,Blitz
66,1200,1,Rapid
67,540,9,Rapid
68,1500,8,Classical
69,840,8,Rapid
70,60,5,Blitz
71,540,3,Rapid
72,480,10,Rapid
73,240,6,Rapid
74,420,8,Rapid
75,960,20,Classical
76,120,13,Rapid
77,180,3,Blitz
78,0,2,Bullet
79,720,12,Rapid
80,420,2,Rapid
81,660,5,Rapid
82,1500,15,Classical
83,1500,1,Classical
84,540,5,Rapid
85,180,4,Blitz
86,300,6,Rapid
87,480,1,Rapid
88,540,25,Classical
89,840,5,Rapid
90,360,7,Rapid
91,1140,1,Rapid
92,1200,10,Classical
93,0,3,Bullet
94,1500,10,Classical
95,0,1,Bullet
96,420,7,Rapid
97,660,8,Rapid
98,960,5,Rapid
99,360,9,Rapid
100,240,1,Blitz
101,300,10,Rapid
102,120,12,Rapid
103,900,10,Rapid
104,300,7,Rapid
105,240,8,Rapid
106,480,5,Rapid
107,240,4,Blitz
108,1200,8,Classical
109,600,6,Rapid
110,780,0,Rapid
111,120,30,Rapid
112,540,1,Rapid
113,1200,2,Rapid
114,1800,1,Classical
115,60,19,Rapid
116,900,3,Rapid
117,0,4,Bullet
118,120,3,Blitz
119,480,3,Rapid
120,600,3,Rapid
121,1800,60,Classical
122,600,9,Rapid
123,780,7,Rapid
124,540,8,Rapid
125,240,5,Blitz
126,120,4,Blitz
127,360,3,Rapid
128,1020,13,Classical
129,720,5,Rapid
130,720,15,Rapid
131,420,4,Rapid
132,1080,5,Rapid
133,720,4,Rapid
134,360,4,Rapid
135,1140,30,Classical
136,10800,180,Classical
137,600,2,Rapid
138,1800,30,Classical
139,360,10,Rapid
140,120,10,Rapid
141,720,30,Classical
142,900,12,Rapid
143,1080,0,Rapid
144,840,0,Rapid
145,600,20,Rapid
146,660,11,Rapid
147,420,3,Rapid
148,120,5,Blitz
149,540,2,Rapid
150,420,1,Blitz
151,1260,8,Classical
152,120,7,Blitz
153,300,30,Classical
154,1080,10,Rapid
155,1200,7,Rapid
156,1080,3,Rapid
157,1500,0,Classical
158,900,11,Rapid
159,900,9,Rapid
160,1800,3,Classical
161,720,10,Rapid
162,9000,0,Classical
163,1140,0,Rapid
164,1800,15,Classical
165,2400,15,Classical
166,60,8,Blitz
167,2100,0,Classical
168,480,15,Rapid
169,1200,12,Classical
170,900,5,Rapid
171,540,7,Rapid
172,960,10,Rapid
173,480,2,Rapid
174,780,2,Rapid
175,240,25,Rapid
176,840,10,Rapid
177,0,8,Blitz
178,660,2,Rapid
179,180,9,Rapid
180,900,20,Classical
181,660,1,Rapid
182,480,4,Rapid
183,1500,3,Classical
184,900,7,Rapid
185,60,30,Rapid
186,1140,3,Rapid
187,420,10,Rapid
188,600,12,Rapid
189,3600,0,Classical
190,180,16,Rapid
191,420,12,Rapid
192,240,30,Rapid
193,1080,8,Rapid
194,540,20,Rapid
195,960,8,Rapid
196,780,13,Rapid
197,480,7,Rapid
198,600,7,Rapid
199,180,6,Blitz
200,60,12,Rapid
201,60,10,Blitz
202,1020,3,Rapid
203,300,16,Rapid
204,420,17,Rapid
205,60,45,Classical
206,660,15,Rapid
207,3600,15,Classical
208,240,7,Rapid
209,900,4,Rapid
210,780,16,Rapid
211,1140,5,Rapid
212,660,12,Rapid
213,900,16,Classical
214,480,6,Rapid
215,0,20,Rapid
216,900,120,Classical
