game_url_key,termination_key,date_key,white_player_key,black_player_key,opening_key,time_control_key,tournament_key,num_moves,white_rating,black_rating,rating_diff,white_score,expected_score
35142,1,20131231,323,94,2,1,,,1711.0,2035.0,-324.0,0.0,0.134
32850,1,20131231,348,199,3,1,,48,1691.0,1717.0,-26.0,1.0,0.463
30387,2,20131231,236,6,4,2,,57,1539.0,1205.0,334.0,1.0,0.872
1634,1,20131231,48,23,5,3,,45,1291.0,1262.0,29.0,0.0,0.542
701,2,20131231,232,396,6,4,,74,1766.0,1832.0,-66.0,1.0,0.406
20542,2,20131231,405,390,7,5,,69,1478.0,1790.0,-312.0,1.0,0.142
25033,2,20131231,433,124,8,1,,69,2103.0,2058.0,45.0,0.0,0.564
23260,2,20131231,426,167,9,6,,70,1405.0,1668.0,-263.0,1.0,0.18
22509,2,20131231,187,330,10,6,,19,1503.0,1688.0,-185.0,1.0,0.256
26064,1,20131231,438,384,11,3,,75,1801.0,1715.0,86.0,0.0,0.621
31065,1,20131231,444,26,12,4,,86,1724.0,1957.0,-233.0,1.0,0.207
20259,2,20131231,456,64,5,7,,119,1647.0,1605.0,42.0,0.0,0.56
29882,2,20131231,198,117,13,8,,58,1309.0,1622.0,-313.0,0.0,0.142
24434,2,20131231,313,289,14,9,,76,1500.0,1027.0,473.0,0.5,0.938
35384,2,20131231,108,293,15,10,,8,1450.0,1486.0,-36.0,1.0,0.448
24303,2,20131231,304,244,12,11,,55,1770.0,1836.0,-66.0,1.0,0.406
28070,2,20131231,37,226,12,12,,123,1359.0,1314.0,45.0,1.0,0.564
26302,2,20131231,446,196,3,13,,30,1634.0,1815.0,-181.0,1.0,0.261
21215,2,20131231,219,319,16,4,,99,1673.0,1609.0,64.0,1.0,0.591
25594,2,20131231,210,85,3,14,,57,1421.0,1551.0,-130.0,1.0,0.321
24875,1,20131231,340,231,17,15,,91,1428.0,1283.0,145.0,1.0,0.697
2336,2,20131231,62,344,14,16,,19,1458.0,1569.0,-111.0,0.0,0.345
33624,2,20131231,276,464,9,13,,134,1566.0,1622.0,-56.0,0.0,0.42
3025,2,20131231,323,124,18,1,,104,1707.0,2073.0,-366.0,0.0,0.108
30630,1,20131231,301,303,2,1,,61,1687.0,1819.0,-132.0,1.0,0.319
27855,2,20131231,381,385,4,17,,59,1240.0,1320.0,-80.0,1.0,0.387
31512,2,20131231,160,2,19,6,,89,1704.0,1696.0,8.0,1.0,0.512
2772,2,20131231,60,368,20,4,,45,1784.0,1802.0,-18.0,1.0,0.474
29070,2,20131231,271,248,5,5,,99,1500.0,1219.0,281.0,1.0,0.834
27545,2,20131231,19,167,9,6,,21,1607.0,1650.0,-43.0,0.0,0.438
27551,2,20131231,289,313,21,9,,16,1049.0,1274.0,-225.0,0.5,0.215
1143,2,20131231,86,102,12,12,,116,1480.0,1590.0,-110.0,0.0,0.347
26873,2,20131231,141,399,22,18,,64,1553.0,2000.0,-447.0,0.0,0.071
22532,2,20131231,348,433,4,1,,42,1704.0,2091.0,-387.0,0.0,0.097
26864,2,20131231,483,349,8,12,,54,1850.0,1550.0,300.0,1.0,0.849
31661,1,20131231,290,273,4,13,,61,1174.0,1020.0,154.0,1.0,0.708
29235,2,20131231,114,191,14,19,,71,1333.0,1377.0,-44.0,0.0,0.437
3984,1,20131231,216,346,21,20,,128,1504.0,1434.0,70.0,0.0,0.599
5344,2,20131231,296,26288,16,6,,128,1629.0,1477.0,152.0,0.0,0.706
28112,2,20131231,322,285,14,21,,68,1166.0,1251.0,-85.0,1.0,0.38
5490,2,20131231,337,371,23,22,,115,1704.0,1841.0,-137.0,0.0,0.312
27531,2,20131231,348,199,3,1,,76,1702.0,1702.0,0.0,0.0,0.5
2505,1,20131231,166,262,15,23,,26,1082.0,1251.0,-169.0,0.0,0.274
4127,2,20131231,456,64,5,7,,44,1634.0,1618.0,16.0,1.0,0.523
32737,2,20131231,224,63,24,17,,59,1832.0,1757.0,75.0,1.0,0.606
