player_key,date_key,time_control_key,rating,rating_change
1851,20140331,30,1500,
4609,20141031,105,1291,
4609,20141130,105,1319,28
5406,20141130,35,1500,
5799,20141231,24,1125,
2157,20140430,13,1420,
246,20140101,87,1528,
246,20140930,87,1531,3
26086,20150731,1,1870,
142,20131231,28,1500,
380,20131231,12,1500,
13557,20151231,65,1696,
13557,20151231,17,1701,
10457,20150831,9,1350,
18779,20160531,13,1519,
1815,20140331,117,1500,
1815,20140331,13,1485,
1815,20140331,5,1521,
1815,20140331,33,1509,
4645,20141031,199,1677,
4668,20141031,18,1721,
4668,20141031,37,1713,
1468,20140228,124,1310,
3591,20140731,29,1315,
3591,20140731,13,1290,
3591,20140831,13,1373,83
1726,20140331,1,1439,
1411,20140228,12,1324,
1411,20140731,12,1243,-81
1482,20140531,208,1392,
1482,20140430,40,1378,
1482,20140930,5,1437,
1482,20140228,12,1437,
1482,20140331,58,1443,
1482,20140228,19,1421,
4195,20140831,34,1465,
4195,20141031,24,1537,
6102,20160430,341,1633,
6102,20150131,4,1598,
13023,20151130,1,2106,
11120,20160531,77,1516,
11120,20150930,107,1349,
638,20140131,95,1669,
638,20150331,95,1595,-74
638,20150331,1,1629,
1828,20140331,95,1751,
1828,20140331,1,1800,
2236,20140430,1,1396,
2236,20140430,29,1324,
2236,20140430,13,1314,
2337,20140430,96,1679,
2337,20140430,19,1682,
1217,20140228,4,1332,
1217,20140228,5,1323,
6821,20150228,30,1383,
1601,20140331,95,2080,
2147,20140430,198,1225,
4119,20150630,322,1485,
4119,20140831,4,1547,
4119,20151031,13,1741,
4119,20140831,5,1534,
4119,20140831,33,1542,
5882,20141231,4,1523,
620,20140131,60,1947,
620,20140131,3,1981,
658,20140131,48,1828,
196,20131231,13,1804,
5238,20141130,35,1634,
1361,20140301,8,1664,
150,20131231,1,1857,
150,20140630,1,1724,-133
150,20140731,1,2037,313
5775,20141231,3,1284,
655,20140131,4,1989,
655,20140131,29,1982,
655,20140131,28,1985,
655,20140131,13,1998,
1520,20140331,64,1500,
1520,20140331,13,1460,
5248,20151031,337,1835,
5248,20141130,277,1835,
5248,20150228,277,1826,-9
2638,20140531,13,1732,
11280,20150930,110,1328,
22483,20160831,46,1591,
4228,20140930,13,1466,
4228,20140930,104,1479,
4228,20140930,35,1472,
583,20140131,50,1398,
3249,20140630,43,1725,
3249,20141031,19,1625,
5517,20141130,1,1561,
2066,20140430,95,1649,
684,20140131,57,1591,
684,20140201,37,1581,
1666,20140331,13,1734,
2667,20140531,64,1843,
2247,20140430,5,1877,
2247,20140430,33,1863,
285,20131231,21,1187,
1094,20140228,12,1187,
2591,20140531,4,1626,
1843,20140331,24,1576,
1524,20140331,1,1532,
1524,20140331,3,1519,
1524,20140831,23,1685,
1524,20160430,13,1804,
4149,20140831,13,1441,
4149,20160531,13,1620,179
1495,20140331,12,1602,
7737,20151231,1,1417,
7737,20150430,12,1334,
1337,20140228,67,1400,
2602,20140531,120,1410,
14879,20160131,4,1908,
24717,20161031,18,1707,
241,20140101,21,1372,
